zpid,price,bedrooms,bathrooms,livingArea,lotAreaValue,yearBuilt,homeType,latitude,longitude,city,zipcode,zestimate,rentZestimate,daysOnZillow,has_zestimate,has_rent_zestimate
27528723,485000,3.0,2.0,1836.0,1.9145,1950.0,MANUFACTURED,29.54371,-95.70948,Richmond,77469,452800.0,2299.0,108,1,1
351191126,567900,4.0,4.0,3069.0,6050.484,2024.0,SINGLE_FAMILY,29.51271,-95.72244,Richmond,77469,376400.0,2400.0,26,0,0
343023851,468900,4.0,3.0,2476.0,6050.484,2024.0,SINGLE_FAMILY,29.50909,-95.722244,Richmond,77469,458500.0,2600.0,38,1,1
2056167385,314990,3.0,2.0,1801.0,6050.484,2024.0,SINGLE_FAMILY,29.4884,-95.7667,Richmond,77469,309800.0,2100.0,7,1,1
343023981,487900,4.0,4.0,2599.0,6050.484,2024.0,SINGLE_FAMILY,29.50909,-95.722244,Richmond,77469,477300.0,2663.0,39,1,1
343024031,517900,4.0,4.0,3190.0,6050.484,2024.0,SINGLE_FAMILY,29.50909,-95.722244,Richmond,77469,504800.0,3145.0,55,1,1
2055958743,396990,4.0,3.0,2720.0,6050.484,2024.0,SINGLE_FAMILY,29.493887,-95.77486,Richmond,77469,392800.0,2650.0,10,1,1
351191130,604900,5.0,4.0,3546.0,6050.484,2024.0,SINGLE_FAMILY,29.51271,-95.72244,Richmond,77469,376400.0,2400.0,39,0,0
2056167380,362990,4.0,3.0,2372.0,6050.484,2024.0,SINGLE_FAMILY,29.4884,-95.7667,Richmond,77469,352100.0,2507.0,45,1,1
2055958748,387490,4.0,3.0,2496.0,6050.484,2024.0,SINGLE_FAMILY,29.493887,-95.77486,Richmond,77469,380600.0,2650.0,32,1,1
2058517064,405990,4.0,3.0,2941.0,6050.484,2024.0,SINGLE_FAMILY,29.49276,-95.75883,Richmond,77469,400500.0,2749.0,42,1,1
351191129,576900,4.0,3.0,3095.0,6050.484,2024.0,SINGLE_FAMILY,29.51271,-95.72244,Richmond,77469,376400.0,2400.0,3,0,0
84021894,280000,4.0,3.0,2670.0,4599.936,2007.0,SINGLE_FAMILY,29.978073,-95.243195,Humble,77396,281100.0,2264.0,0,1,1
337096277,299000,4.0,3.0,2358.0,5057.316,2020.0,SINGLE_FAMILY,29.964714,-95.22999,Humble,77396,291200.0,2650.0,27,1,1
2056167383,330990,4.0,2.0,1932.0,6050.484,2024.0,SINGLE_FAMILY,29.4884,-95.7667,Richmond,77469,319200.0,2250.0,74,1,1
343024131,496900,4.0,3.0,2694.0,6050.484,2024.0,SINGLE_FAMILY,29.50909,-95.722244,Richmond,77469,485800.0,2650.0,38,1,1
343988451,385000,3.0,3.0,2386.0,6050.484,2024.0,SINGLE_FAMILY,29.508774,-95.73106,Rosenberg,77469,372500.0,2500.0,89,1,1
351191128,580900,4.0,4.0,3112.0,6050.484,2024.0,SINGLE_FAMILY,29.51271,-95.72244,Richmond,77469,376400.0,2400.0,3,0,0
2055958756,423990,4.0,3.0,2841.0,6050.484,2024.0,SINGLE_FAMILY,29.493887,-95.77486,Richmond,77469,416800.0,2699.0,26,1,1
349802019,334990,4.0,2.0,1680.0,6050.484,2024.0,SINGLE_FAMILY,29.5104,-95.77104,Rosenberg,77469,333900.0,1994.0,11,1,1
345951197,378690,3.0,2.0,1831.0,6050.484,2024.0,SINGLE_FAMILY,29.556465,-95.76387,Richmond,77469,368700.0,2148.0,70,1,1
351336142,379990,4.0,3.0,2452.0,6050.484,2024.0,SINGLE_FAMILY,29.506746,-95.76597,Rosenberg,77469,376400.0,2400.0,4,0,0
2057122490,380990,4.0,3.0,2372.0,6050.484,2024.0,SINGLE_FAMILY,29.5157,-95.7372,Richmond,77469,367600.0,2500.0,59,1,1
27620409,280000,3.0,2.0,1459.0,6490.44,1979.0,SINGLE_FAMILY,29.544178,-95.69542,Richmond,77469,266000.0,1798.0,78,1,1
339929807,448040,5.0,4.0,2991.0,6050.484,2024.0,SINGLE_FAMILY,29.55415,-95.7604,Richmond,77469,434500.0,2996.0,48,1,1
348874653,607900,4.0,3.0,3379.0,6050.484,2024.0,SINGLE_FAMILY,29.50999,-95.723785,Richmond,77469,594100.0,2998.0,35,1,1
2055958757,363990,4.0,3.0,2285.0,6050.484,2024.0,SINGLE_FAMILY,29.493887,-95.77486,Richmond,77469,356500.0,2525.0,47,1,1
343024130,535900,4.0,3.0,3241.0,6050.484,2024.0,SINGLE_FAMILY,29.50909,-95.722244,Richmond,77469,524700.0,2800.0,36,1,1
2054584595,225000,0.0,0.0,0.0,0.2892,2001.5,LOT,29.581886,-95.764854,Richmond,77469,376400.0,1599.0,217,0,1
351191137,595900,4.0,4.0,3445.0,6050.484,2024.0,SINGLE_FAMILY,29.51271,-95.72244,Richmond,77469,376400.0,2400.0,36,0,0
349480135,329990,4.0,2.0,1680.0,6050.484,2024.0,SINGLE_FAMILY,29.506746,-95.76597,Rosenberg,77469,323300.0,1999.0,12,1,1
351451911,582900,4.0,4.0,2737.0,6050.484,2024.0,SINGLE_FAMILY,29.505405,-95.723434,Richmond,77469,376400.0,2400.0,3,0,0
2062965032,464000,4.0,4.0,2853.0,9003.852,2022.0,SINGLE_FAMILY,29.996216,-95.78985,Hockley,77447,449800.0,2737.0,113,1,1
343023800,529900,4.0,4.0,2574.0,7500.0,2024.0,SINGLE_FAMILY,29.508762,-95.72247,Richmond,77469,513800.0,2650.0,49,1,1
2110853765,250000,0.0,0.0,0.0,1.8,2001.5,LOT,29.513338,-95.60885,Richmond,77469,376400.0,2999.0,279,0,1
